City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,yulinshi,38.2906,109.7494,287.91,80,100,7.6,CN,1717520575
84,nuku'alofa,-21.1333,-175.2,294.34,68,20,2.57,TO,1717520575
85,savanna-la-mar,18.219,-78.1332,303.12,77,48,0.51,JM,1717520576
86,lorengau,-2.0226,147.2712,300.17,83,66,1.75,PG,1717520470
87,zhumysker,49.3333,49.4,295.8,69,100,5.38,KZ,1717520577
88,port mathurin,-19.6833,63.4167,296.45,74,80,11.16,MU,1717520578
89,antofagasta,-23.65,-70.4,291.75,74,56,2.57,CL,1717520412
90,sao jose da coroa grande,-8.8978,-35.1478,301.27,69,44,3.34,BR,1717520579
91,margaret river,-33.95,115.0667,289.51,79,89,2.76,AU,1717520580
92,badger,64.8,-147.5333,288.71,66,82,1.34,US,1717520580
93,nova vicosa,-17.8919,-39.3719,299.31,68,97,3.54,BR,1717520581
94,vorgashor,67.5833,63.95,269.15,94,35,2.33,RU,1717520582
95,novodvinsk,64.4165,40.8122,296.01,78,84,1.24,RU,1717520582
96,woodlake,37.4211,-77.6793,305.25,61,0,2.57,US,1717520583
97,dhuusamarreeb,5.535,46.3861,304.6,43,86,9.23,SO,1717520584
98,pisco,-13.7,-76.2167,290.18,88,100,2.57,PE,1717520584
99,dryden,49.7833,-92.7503,296.31,64,0,5.66,CA,1717520336
100,contamana,-7.3333,-75.0167,306.62,36,63,2.36,PE,1717520585
101,ilo,-17.6394,-71.3375,291.63,68,75,4.63,PE,1717520586
102,nieuw amsterdam,5.8833,-55.0833,305.24,79,40,2.06,SR,1717520586
103,kuta,-8.7233,115.1723,300.12,94,20,2.68,ID,1717520587
104,frankenmuth,43.3317,-83.738,302.54,57,0,5.14,US,1717520401
105,cabedelo,-6.9811,-34.8339,302.52,74,37,3.86,BR,1717520589
106,bethel,41.3712,-73.414,301.71,61,0,5.66,US,1717520589
107,constantia,44.1833,28.65,296.53,86,62,2.72,RO,1717520590
108,le port,-20.9373,55.2919,294.15,83,37,3.98,RE,1717520591
109,hutchinson island south,27.2995,-80.2205,305.41,66,75,5.14,US,1717520592
110,saint-pierre,-21.3393,55.4781,293.97,78,75,11.83,RE,1717520592
111,udachny,66.4167,112.4,285.62,49,100,4.55,RU,1717520475
112,juegang,32.3174,121.1855,292.75,81,100,4.75,CN,1717520593
113,enewetak,11.3474,162.3373,300.23,86,100,10.61,MH,1717520594
114,saint-felix-de-valois,46.1668,-73.4324,298.73,60,100,0.45,CA,1717520595
115,tazovsky,67.4667,78.7,271.89,95,100,3.31,RU,1717520595
116,roghun,38.7826,69.8708,287.58,85,98,3.42,TJ,1717520596
117,hithadhoo,-0.6,73.0833,302.21,69,18,2.44,MV,1717520596
118,korsakov,46.6328,142.7813,281.39,87,100,4.59,RU,1717520597
119,zhanaozen,43.3,52.8,303.61,22,75,5.06,KZ,1717520598
120,georgetown,5.4112,100.3354,304.12,65,20,0.51,MY,1717520598
121,saipan,15.1355,145.701,302.54,79,40,2.57,MP,1717520599
122,tadine,-21.55,167.8833,295.45,90,27,2.03,NC,1717520600
123,manta,-0.95,-80.7333,300.03,74,75,3.6,EC,1717520483
124,khorinsk,52.1657,109.7726,289.17,39,57,1.83,RU,1717520601
125,vyerkhnyadzvinsk,55.7815,27.9443,293.93,73,5,2.4,BY,1717520602
126,yuanping,38.7153,112.7575,290.27,75,100,1.2,CN,1717520602
127,chinsali,-10.5414,32.0816,292.39,48,15,2.6,ZM,1717520603
128,hammerfest,70.6634,23.6821,283.4,66,0,1.03,NO,1717520604
129,lebu,-37.6167,-73.65,288.12,54,100,7.0,CL,1717520604
130,cidreira,-30.1811,-50.2056,289.58,70,32,5.44,BR,1717520605
131,crane,31.3974,-102.3501,309.29,7,0,7.05,US,1717520605
132,ulsteinvik,62.3432,5.8487,285.24,87,100,8.49,NO,1717520606
133,ksar el kebir,35.0017,-5.9053,299.11,55,56,5.7,MA,1717520606
134,new norfolk,-42.7826,147.0587,282.55,94,98,1.03,AU,1717520607
135,yarkovo,57.4028,67.0786,286.61,81,92,3.71,RU,1717520608
136,haiku-pauwela,20.9219,-156.3051,297.06,84,40,5.14,US,1717520608
137,daru,-9.0763,143.2092,298.86,88,99,4.1,PG,1717520609
138,vychegodskiy,61.247,46.8984,295.94,65,76,1.82,RU,1717520609
139,tochio-honcho,37.4667,139.0,286.79,92,8,1.2,JP,1717520610
140,nyurba,63.2842,118.3319,284.08,97,81,0.9,RU,1717520610
141,malango,-2.9627,119.9001,292.93,87,99,0.97,ID,1717520611
142,acaponeta,22.4964,-105.3594,306.77,33,3,1.64,MX,1717520612
143,tsiombe,-25.3,45.4833,293.88,88,4,3.32,MG,1717520612
144,port alfred,-33.5906,26.891,286.03,98,97,0.89,ZA,1717520613
145,lata,40.1629,-8.3327,296.52,41,100,3.88,PT,1717520613
146,tura,25.5198,90.2201,297.07,94,2,1.89,IN,1717520614
147,queenstown,-31.8976,26.8753,283.37,83,100,14.97,ZA,1717520443
148,isafjordur,66.0755,-23.124,278.17,70,100,7.2,IS,1717520616
149,brindisi,40.5833,17.6667,298.95,40,30,4.89,IT,1717520617
150,zuni pueblo,35.0725,-108.8506,298.5,20,100,5.28,US,1717520618
151,remire-montjoly,4.9167,-52.2667,302.17,79,100,2.57,GF,1717520619
152,bayanaul,50.7889,75.6956,286.22,86,70,2.3,KZ,1717520619
153,alofi,-19.0595,-169.9187,296.09,73,100,4.12,NU,1717520521
154,kununurra,-15.7667,128.7333,294.14,56,0,4.12,AU,1717520614
155,palmer,42.1584,-72.3287,300.14,51,75,1.54,US,1717520419
156,aasiaat,68.7098,-52.8699,273.67,67,100,3.03,GL,1717520622
157,pitea,65.3172,21.4794,290.2,30,7,2.17,SE,1717520555
158,kodiak,57.79,-152.4072,280.88,76,100,3.09,US,1717520624
159,mingoyo,-10.1,39.6333,296.32,92,66,0.9,TZ,1717520625
160,la ronge,55.1001,-105.2842,284.29,87,100,7.72,CA,1717520626
161,akureyri,65.6835,-18.0878,275.11,93,100,11.83,IS,1717520626
162,eyl,7.9803,49.8164,301.02,77,59,11.35,SO,1717520531
163,anadyr,64.75,177.4833,276.43,64,20,6.0,RU,1717520627
164,mount isa,-20.7333,139.5,284.02,87,75,2.06,AU,1717520628
165,la'ie,21.6477,-157.9253,298.81,85,26,1.79,US,1717520629
166,vilyuchinsk,52.9306,158.4028,278.67,86,100,0.34,RU,1717520629
167,penukonda,14.0833,77.5833,300.48,72,99,4.08,IN,1717520630
168,ceeldheer,3.8488,47.1806,299.92,83,29,9.51,SO,1717520630
169,singarayakonda,15.25,80.0333,303.71,69,98,4.19,IN,1717520631
170,fale old settlement,-9.3852,-171.2468,301.87,71,98,1.75,TK,1717520631
171,kerikeri,-35.2268,173.9474,288.66,90,100,4.47,NZ,1717520632
172,hawaiian paradise park,19.5933,-154.9731,295.95,97,75,2.57,US,1717520633
173,papatowai,-46.5619,169.4708,281.1,70,100,1.67,NZ,1717520633
174,dudinka,69.4058,86.1778,271.3,92,100,2.24,RU,1717520634
175,de aar,-30.6497,24.0123,282.39,85,100,11.99,ZA,1717520634
176,mount gambier,-37.8333,140.7667,277.63,75,42,1.27,AU,1717520635
177,hadibu,12.65,54.0333,301.96,77,18,6.67,YE,1717520529
178,vila do maio,15.1333,-23.2167,299.59,80,46,7.24,CV,1717520636
179,koz'modem'yansk,56.3367,46.5711,290.92,86,31,4.13,RU,1717520637
180,brookings,44.3114,-96.7984,298.77,66,40,6.69,US,1717520622
181,xunchang,28.4543,104.715,290.33,91,99,0.31,CN,1717520638
182,sinabang,2.4803,96.3801,299.29,88,100,0.92,ID,1717520639
183,dubovskoye,47.4092,42.7575,298.76,42,71,1.07,RU,1717520639
184,grand rapids,42.9634,-85.6681,302.54,59,75,5.14,US,1717520528
185,tucuma,-0.1833,-50.05,303.47,65,8,3.8,BR,1717520563
186,longyearbyen,78.2186,15.6401,278.06,65,75,10.29,SJ,1717520589
187,maksatikha,57.797,35.8825,290.95,93,99,3.01,RU,1717520642
188,sur,22.5667,59.5289,306.31,54,35,4.5,OM,1717520643
189,kotputli,27.7167,76.2,309.8,22,0,4.54,IN,1717520643
190,chibougamau,49.9168,-74.3659,299.94,36,75,5.66,CA,1717520419
191,eraan,9.0629,117.7016,300.12,88,78,1.66,PH,1717520645
192,kirkuk,35.4681,44.3922,306.72,15,0,7.56,IQ,1717520645
193,san antonio oeste,-40.7319,-64.9477,287.01,41,48,9.79,AR,1717520646
194,al fashn,28.8243,30.8995,309.51,12,0,4.08,EG,1717520646
195,west bay,19.3667,-81.4167,305.19,74,40,5.14,KY,1717520647
196,geraldton,-28.7667,114.6,286.38,88,0,4.63,AU,1717520648
197,saldanha,-33.0117,17.9442,290.18,92,48,3.22,ZA,1717520648
198,itaituba,-4.2761,-55.9836,305.24,70,40,4.12,BR,1717520650
199,nasiriyah,31.0521,46.261,312.8,8,0,5.03,IQ,1717520651
200,herval,-32.0236,-53.3956,285.22,74,96,4.0,BR,1717520612
201,santa vitoria do palmar,-33.5189,-53.3681,288.4,72,94,2.07,BR,1717520546
202,amantea,39.1332,16.0746,302.29,59,27,0.91,IT,1717520653
203,yangju,37.8331,127.0617,289.78,59,0,0.48,KR,1717520653
204,hobyo,5.3505,48.5268,300.71,80,14,11.98,SO,1717520654
205,knysna,-34.0363,23.0471,290.14,95,100,8.92,ZA,1717520654
206,tieling,42.2931,123.8414,291.5,53,75,3.13,CN,1717520655
207,skovorodino,53.9833,123.9167,283.0,92,32,0.82,RU,1717520653
208,hoemul-li,41.4339,129.67,285.83,97,28,1.9,KP,1717520656
209,olonkinbyen,70.9221,-8.7187,273.39,97,97,9.8,SJ,1717520657
210,saudarkrokur,65.7461,-19.6394,274.55,99,100,12.3,IS,1717520657
211,conneaut,41.9476,-80.5542,302.88,63,100,2.4,US,1717520421
212,auki,-8.7676,160.7034,298.31,90,50,0.91,SB,1717520658
213,sao joao da barra,-21.6403,-41.0511,302.2,67,0,5.44,BR,1717520552
214,genhe,50.7833,121.5167,283.43,95,94,0.68,CN,1717520660
215,coron,11.9986,120.2043,300.32,86,100,1.78,PH,1717520660
216,weihai,37.5017,122.1136,289.24,71,99,3.24,CN,1717520377
217,aoulef,26.9667,1.0833,314.54,7,0,3.77,DZ,1717520661
218,balykchy,42.4557,76.1861,285.27,60,32,0.64,KG,1717520530
219,nurota,40.5614,65.6886,297.07,14,4,2.58,UZ,1717520662
220,jijiga,9.35,42.8,296.41,56,99,4.25,ET,1717520663
221,port saint john's,-31.6229,29.5448,288.92,77,100,3.8,ZA,1717520664
222,tralee,52.2704,-9.7026,286.29,58,75,6.17,IE,1717520665
223,zaozersk,69.4005,32.4476,284.99,87,78,1.44,RU,1717520665
224,pembroke,45.8168,-77.1162,299.36,58,100,2.39,CA,1717520561
225,big spring,32.2504,-101.4787,310.5,11,0,6.17,US,1717520667
226,mejit,10.2753,170.8646,301.15,82,100,9.72,MH,1717520667
227,anina,45.0794,21.8569,293.17,77,19,1.08,RO,1717520668
228,harnai,30.1005,67.9374,306.06,15,37,1.56,PK,1717520668
229,codrington,-38.2667,141.9667,278.84,83,80,1.99,AU,1717520669
230,askiz,53.1319,90.5264,284.98,81,95,5.83,RU,1717520670
231,passa quatro,-22.3903,-44.9667,294.79,54,14,2.6,BR,1717520670
232,sri dungargarh,28.0833,74.0167,309.68,15,0,8.74,IN,1717520671
233,punta arenas,-53.15,-70.9167,276.21,93,75,2.06,CL,1717520507
234,beya,53.0533,90.9139,284.27,86,91,6.51,RU,1717520672
235,san patricio,28.017,-97.5169,306.2,48,29,8.84,US,1717520673
236,pokhara,28.2333,83.9833,296.79,44,43,3.16,NP,1717520558
237,lompoc,34.6391,-120.4579,301.95,72,40,5.66,US,1717520674
238,richards bay,-28.783,32.0377,291.67,41,0,5.1,ZA,1717520675
239,hotan,37.0997,79.9269,298.63,15,92,5.3,CN,1717520529
240,whitehorse,60.7161,-135.0538,282.09,93,100,1.03,CA,1717520676
241,pak chong,14.708,101.4161,298.26,81,93,3.41,TH,1717520677
242,saint-joseph,-21.3667,55.6167,293.36,81,86,7.78,RE,1717520677
243,esquel,-42.9,-71.3167,278.77,91,100,1.06,AR,1717520445
244,marvejols,44.5538,3.2914,293.23,60,94,2.73,FR,1717520678
245,college,64.8569,-147.8028,288.76,69,40,0.0,US,1717520679
246,kapa'a,22.0752,-159.319,297.33,83,100,7.2,US,1717520679
247,nicoya,10.1483,-85.452,302.29,76,100,0.92,CR,1717520417
248,rosso,16.4986,-15.8153,311.14,18,31,9.05,SN,1717520681
249,mahibadhoo,3.7833,72.9667,301.82,77,74,5.13,MV,1717520681
250,hacienda huancane,-15.8222,-70.8856,283.57,27,0,0.6,PE,1717520682
251,broome,42.2506,-75.833,302.3,62,20,3.6,US,1717520682
252,wailua homesteads,22.0669,-159.378,296.59,84,100,7.2,US,1717520683
253,pitimbu,-7.4706,-34.8086,300.48,71,42,3.52,BR,1717520683
254,ordynskoye,54.3656,81.8994,279.22,83,48,2.48,RU,1717520684
255,ouargla,31.9493,5.325,308.19,18,2,4.12,DZ,1717520685
256,attapeu,14.8,106.8333,299.87,72,48,0.61,LA,1717520470
257,yeppoon,-23.1333,150.7333,285.51,76,0,3.55,AU,1717520686
258,xinji,37.9028,115.2036,299.66,30,100,4.23,CN,1717520687
259,kingston,17.997,-76.7936,304.91,79,75,8.75,JM,1717520012
260,letterkenny,54.95,-7.7333,285.11,56,26,7.2,IE,1717520688
261,silute,55.3489,21.4831,287.43,75,11,2.83,LT,1717520689
262,mogocha,53.7333,119.7667,285.91,75,43,0.76,RU,1717520689
263,vershino-darasunskiy,52.35,115.5167,286.34,57,6,0.87,RU,1717520690
264,taounate,34.5,-4.8333,306.82,27,67,3.85,MA,1717520691
265,vila velha,-20.3297,-40.2925,301.46,99,20,5.66,BR,1717520574
266,teknaf,20.8624,92.3058,301.03,84,10,2.1,BD,1717520692
267,tahe,52.3333,124.7333,282.53,98,35,1.13,CN,1717520692
268,carnarvon,-24.8667,113.6333,292.96,46,0,6.04,AU,1717520693
269,rye,40.9807,-73.6837,302.36,65,20,4.12,US,1717520693
270,ixtapa,20.7,-105.2,307.62,23,0,3.17,MX,1717520411
271,nabire,-3.3667,135.4833,296.94,96,100,1.04,ID,1717520695
272,kilju,40.9642,129.3278,286.03,95,0,1.62,KP,1717520695
273,pandan,14.0453,124.1694,300.2,86,56,1.44,PH,1717520696
274,tobruk,32.0836,23.9764,299.93,43,0,3.46,LY,1717520697
